50,80, # nrows; ncols; first numeric row is X vector; and the rest is X matrix
-76,42,-78,-83,-40,76,-28,19,88,49,3,51,-76,85,99,-15,-3,39,42,-68,46,-98,5,79,-24,100,59,55,-79,13,49,14,33,-32,43,59,-8,45,-23,-97,-69,-34,-68,6,-96,64,81,96,15,13,10,49,40,-50,23,70,85,34,23,-69,-70,-65,-29,-53,69,-59,2,58,96,-1,46,39,-55,60,-78,71,-63,90,-52,21
41,24,65,33,95,-18,96,-92,5,-34,-3,-48,31,-92,61,85,91,5,-9,25,-84,3,79,-82,-95,-23,6,31,-65,-8,81,38,-53,-89,38,-35,-2,-20,69,-97,6,84,41,-95,49,34,64,40,83,-65,-65,20,73,9,24,51,47,-11,-34,-65,97,-72,-41,68,45,12,41,76,82,17,-27,-84,69,-58,-39,34,-73,-12,-82,31
-45,41,-73,-40,-56,-81,-6,-11,16,-75,96,-9,-68,-52,-86,-11,-26,-82,97,-79,92,-4,74,92,26,57,-2,-85,-11,9,-81,-68,-1,75,39,-79,41,-7,22,-1,-30,-60,-68,62,-17,17,-41,-27,12,-6,50,20,-51,69,-80,-87,8,61,69,32,79,64,83,-19,86,60,-68,-8,-82,-10,-63,68,28,78,30,-96,32,-13,68,99
100,3,-49,-59,-51,40,-96,-75,16,-65,19,-93,-2,77,88,24,21,-36,-60,4,57,55,-27,-20,-55,-41,95,81,-63,-4,-66,21,64,-14,1,12,-89,-89,-71,66,44,-93,-54,88,-70,-58,-17,-80,82,48,52,89,73,83,-41,-53,-46,-46,23,-8,-14,60,-4,-4,6,-100,-28,89,-5,-68,-26,72,-90,38,89,-74,-49,-39,-86,-8
35,-72,-84,25,-60,50,75,-33,24,-80,68,49,-1,-67,63,71,-58,-37,26,-9,-82,82,-43,2,-100,35,5,38,22,11,-93,-77,52,-63,18,79,11,22,-43,77,-12,-85,-37,-49,-92,-32,74,8,-23,9,-3,-62,54,73,-4,-39,75,77,-85,-65,10,-95,-91,-26,-45,40,24,-59,-52,-85,44,-13,27,59,-89,44,31,88,-40,42
-23,-89,33,-66,-63,70,83,-22,7,-14,-28,58,90,93,-24,-65,62,4,-2,-39,32,58,-96,-23,-11,92,-77,40,95,21,-24,-62,-38,-18,-49,-4,63,-97,8,52,12,-47,-26,95,-36,17,76,24,-24,-73,-3,0,56,96,25,-100,-17,56,-43,-10,-32,72,35,-12,-53,85,-20,-75,-14,-42,-52,-61,34,-69,-30,12,80,-91,-82,78
-90,53,40,24,11,21,23,-8,36,55,-88,7,82,-92,-98,-14,-10,82,-61,-69,27,-88,93,-77,-88,-15,57,24,53,-98,-33,74,67,70,96,-25,91,-96,-16,-32,-42,40,31,-50,42,5,10,38,50,40,28,-60,-100,-38,1,28,-27,-60,-43,1,7,89,47,-8,48,-72,-83,-71,19,12,-57,23,26,-22,4,-55,62,29,-76,92
44,98,51,46,71,88,86,77,13,-91,63,-61,35,-2,-56,-44,-65,78,-36,-52,2,-3,-23,89,8,-48,67,71,2,19,32,47,76,44,36,23,10,31,91,-22,-72,52,-29,-56,17,-54,54,7,28,59,13,-82,46,64,-32,48,92,-70,44,-60,93,-10,4,-43,76,0,-75,-78,-9,-67,30,-88,21,-63,43,94,-24,26,86,14
54,13,40,39,-7,-69,41,-17,-88,-48,6,-1,34,14,-2,-34,-8,41,77,-93,19,-52,-76,-20,81,-23,58,-76,-91,57,80,77,-14,-34,-43,-90,98,-42,-28,19,77,-95,53,-38,-16,-68,-40,-87,51,-27,28,-92,-78,-88,26,-88,-61,-78,-68,-86,3,-3,-50,60,-53,45,-93,14,-61,-46,-76,64,-24,-44,-88,-9,64,-75,-1,-73
-49,-58,24,78,-19,3,15,-42,38,-82,68,63,15,-21,-73,-39,-22,91,-98,19,13,73,51,-13,56,0,-38,-25,30,63,71,-61,87,3,48,51,65,28,15,-19,46,62,-72,60,6,51,-89,-42,30,43,96,18,42,73,72,-88,20,66,20,6,8,-33,-2,-74,41,-84,-10,-34,8,-47,1,-63,10,14,-28,60,-26,64,-66,55
31,65,15,-65,3,-32,-56,-82,-15,57,-33,67,-40,19,98,31,78,-92,75,-16,-12,1,73,9,-27,33,32,-40,-60,7,17,-3,63,22,-6,8,-87,-79,89,-4,-44,37,45,-50,71,-25,10,-79,28,88,50,-44,-81,21,70,-25,56,-19,-35,84,97,27,-62,-25,21,-67,13,98,28,24,-49,44,98,29,-1,36,64,-51,6,80
99,84,-45,-6,3,-100,-79,-87,67,2,-39,-20,81,-30,-90,-80,-1,82,54,26,0,76,22,56,76,48,-12,50,-87,33,86,-95,78,-100,-48,-66,-31,-51,-47,84,76,74,-35,95,97,28,97,-9,25,-99,28,18,-43,-72,12,30,-28,-19,94,64,-69,-97,-96,5,-88,80,-28,90,-36,-5,19,-69,11,100,-52,65,97,-87,-84,19
-87,62,67,27,-4,-52,63,64,-47,94,-85,65,-66,10,35,15,-39,-14,0,71,-46,-45,-68,52,-98,14,-38,-13,-61,-40,-6,53,54,-3,-12,-67,18,-12,18,-73,75,58,-59,-71,-28,-66,-24,-9,-27,-57,-37,-86,83,70,-23,84,-96,-71,36,-26,-10,-27,2,-70,-72,-36,84,-32,42,47,-12,87,-53,91,-86,8,25,-45,87,66
2,79,24,-92,-52,27,45,26,-24,81,-52,-55,-69,34,66,-91,-57,53,65,-46,-60,54,78,-84,-42,-29,-21,-93,-54,-65,-89,63,94,-74,58,80,64,-41,77,-66,-79,-52,-79,17,-96,-72,-73,-86,16,-70,-36,82,-53,56,3,0,-42,-85,53,93,80,-67,11,9,41,-2,-43,1,-61,-19,60,-79,34,-29,-47,74,-16,75,-71,62
23,-77,-21,74,60,-99,39,-29,77,-1,-26,82,88,-20,-46,35,-88,-36,-72,-96,7,-78,8,36,17,3,-41,-51,-59,-79,14,-4,43,-2,-10,100,75,-93,-6,67,-81,-12,66,11,68,-52,33,77,-81,-12,-79,90,92,0,-38,-89,-61,46,26,-93,90,4,-81,75,55,-83,36,69,-71,-90,-12,-54,-54,9,-51,97,49,55,69,-14
75,-6,-69,-85,-53,-27,-51,-23,61,-100,32,59,-43,-26,-51,0,-29,-32,2,62,73,-25,49,-74,-59,26,77,50,-71,42,-67,-10,98,79,-65,8,-41,13,67,67,36,47,72,-10,33,-63,-84,49,20,-68,-77,-64,88,82,4,-16,32,-11,53,-25,-3,-86,-86,-23,60,12,-17,-40,34,-76,66,-6,2,49,-89,57,48,4,6,95
74,-5,12,86,37,14,26,-26,-41,35,-85,24,27,91,70,-23,-59,28,-7,19,89,60,44,-8,39,-78,-77,-58,-33,-40,81,60,-63,-17,-31,-24,-37,-23,30,7,99,73,18,-72,60,-30,-20,20,-95,-3,-73,-39,38,-9,5,46,58,7,-50,-38,-49,25,-65,96,73,49,-35,-32,-92,-92,11,33,55,-100,-33,72,-96,-92,32,-2
-66,12,27,17,-50,-9,-9,-6,92,23,-45,-78,27,19,-94,4,-85,-100,59,-49,-1,-2,48,3,67,-79,-19,-12,85,48,19,-34,21,53,-96,35,-4,-38,40,37,-9,-69,82,53,74,-74,-49,-22,21,96,-63,-32,-92,-45,99,-2,75,-34,32,76,-39,-16,21,78,-28,54,-77,-25,20,79,-94,-1,29,89,88,17,53,91,9,-49
-23,-53,-4,40,23,-40,43,-90,-15,-83,-33,71,-91,-94,-56,27,56,25,77,87,6,-34,-65,-33,-74,79,-89,-98,-27,100,26,-24,-86,11,4,-85,81,-28,40,17,-93,80,55,-34,-5,14,61,-56,86,11,92,-77,10,82,-47,82,61,-38,-42,-32,-80,-9,-90,-34,-19,-77,32,9,85,-78,-59,82,17,-15,3,47,-61,92,-95,-12
86,20,-72,-48,35,89,-64,-78,-97,40,81,-99,-87,-12,-13,86,1,-77,-88,75,71,4,95,6,48,68,81,41,-86,13,-15,-49,60,-59,46,78,-57,28,93,-41,-87,-72,-99,37,83,-78,43,-48,90,99,-93,23,11,28,43,-30,-69,32,82,-51,59,57,-85,-79,57,-29,61,26,-52,90,-49,-66,-6,54,78,8,88,-80,-82,-69
43,90,93,-93,54,18,-21,96,30,94,-39,65,-86,19,84,85,88,91,84,-56,7,-8,-60,-16,-95,90,-17,-17,57,64,92,47,-85,-36,39,94,-28,-62,-85,-23,-90,91,26,6,-72,-86,4,45,-27,-81,-12,56,75,27,92,-77,90,48,20,-68,-64,16,30,98,-75,-45,-32,87,-27,67,-83,96,77,91,59,-93,26,-12,52,37
54,94,-62,-83,85,84,81,-58,56,-84,-5,-10,64,44,52,-60,95,3,91,27,-6,-63,-69,-42,-69,-21,30,47,8,-81,94,-40,28,-90,-27,49,53,47,38,-67,-100,-18,-99,68,-54,-33,-34,52,-74,-49,98,18,-96,17,30,-59,-2,66,95,-63,36,5,13,-90,-75,-79,-10,25,-99,-8,-58,-7,-19,66,15,39,83,59,-76,0
-87,58,-33,-19,80,60,63,99,-54,58,-82,-55,-76,87,79,-95,-51,-11,75,-2,-55,72,-79,-53,-20,-93,-67,-36,6,-58,-54,29,28,81,-2,-86,17,78,98,-36,18,-79,72,48,75,48,79,-17,-60,-62,-59,12,2,34,-92,91,-35,-89,-92,-85,-96,9,-64,39,72,43,-52,47,29,35,-85,-77,63,54,11,-41,-67,39,-98,-39
-94,-78,45,-91,-48,-99,85,-35,20,87,-86,87,-23,-43,-16,14,-51,84,-1,96,59,-33,45,-48,31,-45,-33,-57,-2,35,17,-32,86,82,88,-69,5,74,19,-3,56,34,24,59,-49,-7,-79,-73,-40,17,73,-29,-92,-96,2,-1,33,-16,-95,95,63,-99,-51,-34,49,-5,88,-97,-63,92,11,16,-73,-55,64,-79,-25,-16,14,-18
-79,-36,-6,14,-60,-86,-63,-20,-63,77,85,93,-28,40,97,75,26,1,-97,77,-18,-64,-20,-79,-60,40,-44,100,-19,84,23,43,-58,-11,100,30,22,-52,-73,-92,-19,-35,43,48,33,-74,23,-94,-48,-95,88,39,-71,49,42,19,69,-63,-95,83,-97,52,-82,40,-64,85,13,-59,-53,28,47,-63,-32,-80,-25,72,17,-15,-42,39
-82,-46,69,-68,-31,-2,86,17,-21,-66,-38,-8,-22,18,-38,46,59,54,-3,0,-81,0,80,67,48,3,-42,84,47,30,88,66,-62,-36,86,90,81,34,-76,92,48,-3,96,14,26,-5,-95,47,27,-48,-45,78,53,12,41,-89,-15,-88,-21,-48,-87,93,-58,34,76,-55,26,64,-88,-88,-58,-94,84,-83,-76,81,-9,-28,-61,-9
-1,35,-13,16,-76,-90,84,-23,-15,59,53,-31,12,20,29,37,51,69,56,-29,75,-56,67,79,-65,-83,-29,96,-40,91,-30,16,-71,-30,-97,80,-39,-71,95,7,55,19,24,-37,57,47,-6,35,-71,25,31,43,-72,-40,14,-93,-92,6,-38,53,37,-44,19,-100,-6,-64,56,82,-90,-24,-47,-70,83,11,61,-91,-49,28,57,-12
78,-25,-5,9,-86,67,45,-44,83,16,100,-2,-36,56,-81,-17,55,-29,21,-16,-54,4,49,-83,91,25,56,-44,52,-10,77,82,-100,-77,79,39,84,56,-89,-5,-99,-73,-95,33,-67,-58,-73,43,7,77,-88,36,61,21,90,72,-96,-23,75,84,-1,58,-18,-55,100,77,-49,66,-14,-57,-12,90,-2,41,80,48,36,-53,2,-89
-76,-34,9,-50,-20,21,6,17,-81,55,-57,70,23,29,-24,66,-37,13,-80,-78,40,-41,57,-3,-86,79,17,52,-19,17,50,-46,19,-92,31,-26,-82,3,79,-86,26,47,-1,18,-76,89,93,77,-85,36,12,58,13,86,-86,-35,-70,33,99,62,11,77,53,-73,27,54,11,-11,32,-95,-42,32,68,-79,48,93,-4,-42,-4,-6
4,-32,-13,-4,99,43,-69,86,-77,53,5,59,46,0,-36,-50,-22,95,2,-12,-30,-4,29,75,-44,-5,-37,85,61,23,-44,38,-58,-64,34,38,86,31,54,-19,100,-22,-2,-93,7,-66,37,54,90,-1,10,-33,97,-44,-79,-69,-48,59,57,51,16,10,96,67,65,40,-76,54,-3,-7,-29,-4,-38,-57,-35,-94,1,95,-38,61
-85,88,-83,-39,-99,-77,-35,-37,4,19,55,57,-38,45,-28,-88,49,28,1,-31,-32,49,-79,-15,-31,66,97,44,72,91,-22,55,78,35,-15,-33,59,-66,-57,-86,-71,-82,-3,60,65,45,92,28,-19,-100,33,-58,6,-33,-23,62,-13,85,30,89,61,28,54,60,-41,52,-25,0,0,2,41,-92,29,-76,31,-94,-47,-14,-5,1
100,-71,-48,53,-23,69,19,-31,-93,89,58,57,-82,88,-77,22,11,-39,14,12,2,50,98,-54,-20,-54,23,93,-22,-56,-36,-64,69,-59,-8,-70,-91,-69,-2,87,-32,-56,-59,-22,20,-44,-37,50,33,-54,84,-71,-89,5,-79,-97,66,-12,3,65,-41,-7,9,77,70,79,-13,-54,-67,18,-8,0,-64,-76,70,-46,71,-79,-89,-25
68,79,-53,28,92,-21,-45,91,-38,-53,-33,-17,-59,-51,-11,-63,-65,-99,-95,73,81,-18,55,85,-97,16,67,-1,-98,74,28,-70,-80,-59,76,65,0,-53,77,-77,74,78,29,44,-3,40,-78,-34,25,-68,53,27,-97,-37,90,-78,-90,-6,24,-65,48,-55,-35,83,-20,50,-53,67,68,90,-81,57,11,93,36,-10,88,-97,-96,32
-34,-79,-41,-66,66,-50,36,-65,-79,77,14,-70,-32,-85,27,-80,-24,-30,-17,0,-86,34,66,98,-9,94,36,-50,-67,49,35,-57,-11,-92,92,-39,27,-67,-27,10,45,-50,-29,-52,18,0,65,19,76,45,34,78,55,-74,26,50,-13,10,42,98,-33,-26,98,-72,7,53,56,-29,-24,71,-87,63,-55,6,68,-34,-76,-45,-7,54
65,52,-31,-74,-81,67,18,70,84,50,-53,-99,-28,93,25,-10,-41,81,26,-98,-72,-28,-81,-64,-16,-94,-45,35,13,48,-90,-27,95,-70,36,-63,42,-19,53,97,-2,43,-39,99,50,-23,-18,-82,66,24,-6,65,72,-17,76,-21,-59,80,-30,59,41,10,28,-37,69,43,-44,93,-22,-32,-62,-20,-3,48,-50,81,18,40,76,30
-27,83,55,-8,-33,-10,90,45,73,-27,87,-80,54,45,-89,35,31,19,-60,-49,11,-38,47,40,-41,-73,54,-76,-72,89,-96,36,-64,68,-66,8,-56,-78,55,-78,33,16,-51,55,-10,-73,-41,-46,96,-31,-22,57,-20,-12,-50,95,10,5,-34,67,-21,0,64,-12,44,96,-100,-39,49,-87,94,80,-90,70,-16,9,12,83,-35,45
-64,-66,-44,72,78,51,25,-88,71,60,-50,57,28,-5,-63,65,83,73,-38,-11,-22,-79,49,-27,50,83,72,60,-29,-26,39,-28,-89,-22,-88,-40,-32,89,-95,-76,78,-38,96,26,18,4,-14,92,54,-38,26,10,-32,-9,-77,5,-28,80,93,41,-43,74,16,-83,41,-45,-95,-13,-67,46,-87,54,-40,32,-80,36,-98,-75,-7,77
-34,84,-6,-87,62,-44,78,-30,72,33,-12,-88,73,12,79,0,-86,32,78,11,77,-37,77,45,-93,-25,51,-14,-60,22,-15,42,61,32,20,-24,24,-12,-62,-67,36,-36,36,-37,-34,26,99,65,-39,-43,81,-59,-86,-25,-7,8,-76,-8,67,88,-13,-30,-15,27,69,-49,48,42,-38,46,-17,-93,-87,-13,-57,84,-100,-35,51,-88
-19,-91,-39,27,1,-18,-19,-32,-58,17,66,52,40,-82,26,-82,38,10,-9,30,-86,-69,-29,-78,-3,95,-91,-11,31,-20,40,28,44,-14,-83,-94,79,17,-13,12,63,87,-84,-48,43,-78,-18,45,-98,89,-37,93,3,-91,60,-84,-28,8,81,-31,-19,35,58,-92,8,-49,-64,-88,-39,-16,94,83,-35,65,-3,4,-3,45,6,-43
